1,Ganó,2025-07-12
2,Perdió,2025-07-15
3,Empató,2025-07-20
4,Ganó,2025-07-25
5,Perdió,2025-08-02
6,Ganó,2025-08-05
7,Empató,2025-08-10
8,Ganó,2025-08-12
9,Perdió,2025-08-18
10,Empató,2025-08-20
11,Ganó,2025-08-22
12,Perdió,2025-08-25
13,Empató,2025-09-01
14,Ganó,2025-09-03
15,Perdió,2025-09-05
1,Empató,2025-09-07
2,Ganó,2025-09-09
3,Perdió,2025-09-10
4,Empató,2025-07-14
5,Ganó,2025-07-18
6,Perdió,2025-07-21
7,Ganó,2025-08-03
8,Empató,2025-08-06
9,Ganó,2025-08-09
10,Perdió,2025-08-11
11,Empató,2025-08-14
12,Ganó,2025-09-02
13,Perdió,2025-09-04
14,Empató,2025-09-06
15,Ganó,2025-09-08
1,Perdió,2025-07-13
2,Empató,2025-07-17
3,Ganó,2025-07-19
4,Perdió,2025-08-01
5,Empató,2025-08-07
6,Ganó,2025-08-13
7,Perdió,2025-08-16
8,Ganó,2025-09-03
9,Empató,2025-09-05
10,Ganó,2025-09-07
11,Perdió,2025-09-09
12,Empató,2025-07-20
13,Ganó,2025-07-23
14,Perdió,2025-08-04
15,Empató,2025-08-08
1,Ganó,2025-08-10
2,Perdió,2025-08-12
3,Empató,2025-09-01
4,Ganó,2025-09-02
5,Perdió,2025-09-05
6,Empató,2025-07-22
16,Perdió,2025-09-25
1,Empató,2025-09-26
1,Perdió,2025-09-26
1,Ganó,2025-09-26
1,Empató,2025-09-26
1,Perdió,2025-10-01
1,Empató,2025-10-01
1,Empató,2025-10-01
1,Ganó,2025-10-02
1,Ganó,2025-10-02
1,Ganó,2025-10-02
1,Ganó,2025-10-02
1,Ganó,2025-10-08
1,Ganó,2025-10-08
1,Ganó,2025-10-08
1,Empató,2025-10-08
1,Empató,2025-10-09
1,Empató,2025-10-09
1,Empató,2025-10-09
1,Empató,2025-10-09
1,Empató,2025-10-09
